Record,Accel. Opening Angle,Actual Forward && Reverse Linear Solenoid Current,Actual Gear Ratio,Actual Secondary Pressure,AT learning,ATF Temp.,ATF Temperature Lamp,Commanded Forward && Reverse Linear Solenoid Current,Control module voltage,D Range Signal,Diagnosis Lamp,Down Switch,Engine Speed,Front Wheel Speed,Front Wheel Speed (2),Lock Up Duty Ratio,Lock-Up ON/OFF Solenoid,Manual Mode Switch,N Range,P Range,Primary DOWN Duty,Primary Rev Speed,Primary UP Duty,R Range Signal,Secondary Actual Current,Secondary Rev Speed,Secondary Set Current,Shift step in Manu. Mode,Stop Light Switch,Transfer Duty Ratio,Turbine Revolution Speed,Up Switch
100,0.00,857.00,0.45,0.86,Completed,17.00,OFF,856.00,14.63,ON,OFF,OFF,1792.00,2396.00,2396.00,99.00,ON,OFF,OFF,OFF,0.00,1344.00,43.60,OFF,725.00,3288.00,733.00,0.00,OFF,18.50,1696.00,OFF
101,14.90,850.00,0.46,0.70,Completed,17.00,OFF,845.00,14.58,ON,OFF,OFF,1399.00,2297.00,2297.00,99.00,ON,OFF,OFF,OFF,0.00,1328.00,60.00,OFF,751.00,3053.00,748.00,0.00,OFF,26.50,1472.00,OFF
102,0.00,857.00,0.38,0.62,Completed,17.00,OFF,858.00,14.56,ON,OFF,OFF,1324.00,2244.00,2244.00,99.00,ON,OFF,OFF,OFF,36.80,1147.00,0.00,OFF,761.00,3015.00,757.00,0.00,OFF,26.50,1280.00,OFF
103,0.00,857.00,0.39,0.61,Completed,17.00,OFF,858.00,14.59,ON,OFF,OFF,1272.00,2145.00,2145.00,99.00,ON,OFF,OFF,OFF,36.40,1122.00,0.00,OFF,759.00,2882.00,757.00,0.00,OFF,26.50,1248.00,OFF
104,0.00,856.00,0.39,0.61,Completed,17.00,OFF,857.00,14.56,ON,OFF,OFF,1224.00,2092.00,2092.00,99.00,ON,OFF,OFF,OFF,36.80,1116.00,0.00,OFF,760.00,2795.00,758.00,0.00,OFF,26.50,1216.00,OFF
105,0.00,850.00,0.48,1.00,Completed,17.00,OFF,852.00,14.64,ON,OFF,OFF,1245.00,1516.00,1516.00,99.00,ON,OFF,OFF,OFF,47.20,1126.00,0.00,OFF,701.00,2489.00,697.00,0.00,ON,18.50,1184.00,OFF
106,0.00,838.00,0.87,0.86,Completed,17.00,OFF,839.00,14.67,ON,OFF,OFF,1244.00,823.00,823.00,99.00,ON,OFF,OFF,OFF,49.60,1053.00,0.00,OFF,721.00,1284.00,719.00,0.00,ON,26.50,1248.00,OFF
107,0.00,801.00,2.09,1.51,Completed,17.00,OFF,804.00,14.62,ON,OFF,OFF,1023.00,307.00,307.00,18.50,OFF,OFF,OFF,OFF,39.60,919.00,0.00,OFF,639.00,455.00,634.00,0.00,OFF,26.50,896.00,OFF
108,0.00,775.00,2.23,1.21,Completed,17.00,OFF,796.00,14.67,ON,OFF,OFF,979.00,117.00,117.00,0.00,OFF,OFF,OFF,OFF,0.00,386.00,36.00,OFF,669.00,357.00,667.00,0.00,ON,26.00,864.00,OFF
109,0.00,815.00,2.26,1.90,Completed,17.00,OFF,803.00,14.69,OFF,OFF,OFF,994.00,32.00,32.00,0.00,OFF,OFF,OFF,OFF,0.00,198.00,0.00,ON,592.00,218.00,598.00,0.00,OFF,30.00,0.00,OFF
110,0.00,796.00,2.20,4.58,Completed,17.00,OFF,790.00,14.68,OFF,OFF,OFF,1925.00,119.00,119.00,0.00,OFF,OFF,OFF,OFF,38.40,264.00,0.00,ON,298.00,145.00,266.00,0.00,OFF,54.50,352.00,OFF
111,0.00,792.00,2.21,2.62,Completed,17.00,OFF,790.00,14.69,OFF,OFF,OFF,1626.00,133.00,133.00,0.00,OFF,OFF,OFF,OFF,38.80,276.00,36.40,ON,521.00,180.00,500.00,0.00,ON,29.50,416.00,OFF
112,0.00,845.00,2.15,1.68,Completed,18.00,OFF,772.00,14.70,ON,OFF,OFF,967.00,0.00,0.00,0.00,OFF,OFF,OFF,OFF,41.20,311.00,0.00,OFF,610.00,109.00,606.00,0.00,OFF,27.00,256.00,OFF
113,11.37,747.00,2.26,2.29,Completed,18.00,OFF,765.00,14.63,ON,OFF,OFF,851.00,158.00,158.00,0.00,OFF,OFF,OFF,OFF,0.00,488.00,45.20,OFF,556.00,141.00,537.00,0.00,OFF,26.50,192.00,OFF
114,11.76,618.00,2.25,2.68,Completed,18.00,OFF,612.00,14.69,ON,OFF,OFF,1610.00,612.00,612.00,37.00,ON,OFF,OFF,OFF,0.00,1548.00,59.20,OFF,458.00,529.00,446.00,0.00,OFF,26.50,1184.00,OFF
115,25.88,697.00,1.01,3.23,Completed,18.00,OFF,698.00,14.59,ON,OFF,OFF,2366.00,1321.00,1321.00,51.50,ON,OFF,OFF,OFF,0.00,1625.00,44.80,OFF,441.00,1446.00,430.00,0.00,OFF,51.50,1760.00,OFF
116,50.98,678.00,0.75,3.00,Completed,18.00,OFF,687.00,14.59,ON,OFF,OFF,1916.00,1880.00,1880.00,99.00,ON,OFF,OFF,OFF,49.60,2192.00,0.00,OFF,466.00,2235.00,460.00,0.00,OFF,44.50,1920.00,OFF
117,100.00,697.00,1.05,3.23,Completed,18.00,OFF,695.00,14.64,ON,OFF,OFF,3433.00,2575.00,2575.00,99.00,ON,OFF,OFF,OFF,36.80,3547.00,0.00,OFF,454.00,3131.00,438.00,0.00,OFF,49.00,3616.00,OFF
118,100.00,725.00,0.78,3.09,Completed,19.00,OFF,726.00,14.59,ON,OFF,OFF,3254.00,3090.00,3090.00,99.00,ON,OFF,OFF,OFF,0.00,3188.00,34.00,OFF,471.00,3874.00,466.00,0.00,OFF,44.50,3360.00,OFF
119,0.00,856.00,0.60,2.71,Completed,19.00,OFF,852.00,14.55,ON,OFF,OFF,3762.00,3165.00,3165.00,99.00,ON,OFF,OFF,OFF,38.40,2507.00,0.00,OFF,514.00,4244.00,515.00,0.00,OFF,27.00,2848.00,OFF
120,0.00,854.00,0.38,0.85,Completed,19.00,OFF,853.00,14.59,ON,OFF,OFF,2202.00,2900.00,2900.00,99.00,ON,OFF,OFF,OFF,38.00,1466.00,0.00,OFF,720.00,4030.00,728.00,0.00,ON,27.00,2112.00,OFF
121,0.00,857.00,0.38,0.70,Completed,19.00,OFF,857.00,14.62,ON,OFF,OFF,1494.00,2307.00,2307.00,99.00,ON,OFF,OFF,OFF,0.00,1191.00,34.00,OFF,741.00,3258.00,741.00,0.00,ON,18.50,1408.00,OFF
122,36.47,780.00,0.60,1.97,Completed,19.00,OFF,781.00,14.61,ON,OFF,OFF,1413.00,2345.00,2345.00,99.00,ON,OFF,OFF,OFF,0.00,1779.00,44.00,OFF,583.00,2964.00,580.00,0.00,OFF,35.00,1856.00,OFF
123,0.00,857.00,0.44,0.72,Completed,19.00,OFF,857.00,14.61,ON,OFF,OFF,1717.00,2294.00,2294.00,99.00,ON,OFF,OFF,OFF,0.00,1256.00,50.00,OFF,739.00,3117.00,735.00,0.00,OFF,27.00,1600.00,OFF
124,49.80,754.00,0.59,2.41,Completed,19.00,OFF,755.00,14.56,ON,OFF,OFF,1878.00,2476.00,2476.00,99.00,ON,OFF,OFF,OFF,0.00,1884.00,37.60,OFF,520.00,3103.00,512.00,0.00,OFF,39.00,2112.00,OFF
125,58.82,771.00,0.52,2.70,Completed,20.00,OFF,769.00,14.62,ON,OFF,OFF,2160.00,2892.00,2892.00,99.00,ON,OFF,OFF,OFF,0.00,1947.00,36.40,OFF,501.00,3653.00,479.00,0.00,OFF,39.00,2144.00,OFF
126,0.00,856.00,0.43,1.31,Completed,20.00,OFF,854.00,14.58,ON,OFF,OFF,2122.00,2945.00,2945.00,99.00,ON,OFF,OFF,OFF,0.00,1619.00,39.60,OFF,675.00,3957.00,661.00,0.00,OFF,27.00,1952.00,OFF
127,0.00,845.00,0.40,0.71,Completed,20.00,OFF,845.00,14.60,ON,OFF,OFF,1708.00,2941.00,2941.00,99.00,ON,OFF,OFF,OFF,0.00,1555.00,41.60,OFF,740.00,3866.00,739.00,0.00,OFF,27.00,1696.00,OFF
128,0.00,845.00,0.39,0.66,Completed,20.00,OFF,846.00,14.59,ON,OFF,OFF,1752.00,2959.00,2959.00,99.00,ON,OFF,OFF,OFF,37.20,1551.00,35.60,OFF,753.00,3891.00,748.00,0.00,OFF,27.00,1728.00,OFF
129,0.00,850.00,0.39,0.64,Completed,20.00,OFF,852.00,14.59,ON,OFF,OFF,1735.00,2958.00,2958.00,99.00,ON,OFF,OFF,OFF,0.00,1535.00,0.00,OFF,755.00,3902.00,753.00,0.00,OFF,27.00,1696.00,OFF
130,0.00,849.00,0.39,0.63,Completed,21.00,OFF,848.00,14.62,ON,OFF,OFF,1746.00,2961.00,2961.00,99.00,ON,OFF,OFF,OFF,0.00,1527.00,0.00,OFF,755.00,3924.00,755.00,0.00,OFF,27.00,1728.00,OFF
131,0.00,852.00,0.39,0.61,Completed,21.00,OFF,854.00,14.55,ON,OFF,OFF,1737.00,2921.00,2921.00,99.00,ON,OFF,OFF,OFF,37.60,1524.00,0.00,OFF,755.00,3944.00,755.00,0.00,ON,27.00,1728.00,OFF
132,0.00,856.00,0.39,0.62,Completed,21.00,OFF,856.00,14.62,ON,OFF,OFF,1658.00,2750.00,2750.00,99.00,ON,OFF,OFF,OFF,0.00,1428.00,0.00,OFF,758.00,3703.00,753.00,0.00,OFF,27.00,1632.00,OFF
133,3.14,849.00,0.39,0.61,Completed,21.00,OFF,850.00,14.64,ON,OFF,OFF,1591.00,2703.00,2703.00,99.00,ON,OFF,OFF,OFF,0.00,1401.00,40.40,OFF,757.00,3552.00,755.00,0.00,OFF,27.00,1568.00,OFF
134,19.61,827.00,0.45,0.76,Completed,21.00,OFF,829.00,14.61,ON,OFF,OFF,1716.00,2830.00,2830.00,99.00,ON,OFF,OFF,OFF,0.00,1667.00,34.00,OFF,734.00,3675.00,730.00,0.00,OFF,27.00,1824.00,OFF
135,22.35,829.00,0.44,0.94,Completed,21.00,OFF,830.00,14.58,ON,OFF,OFF,1927.00,2980.00,2980.00,99.00,ON,OFF,OFF,OFF,0.00,1717.00,38.40,OFF,706.00,3885.00,706.00,0.00,OFF,27.00,1920.00,OFF
136,21.57,834.00,0.42,0.87,Completed,21.00,OFF,835.00,14.61,ON,OFF,OFF,1940.00,3083.00,3083.00,99.00,ON,OFF,OFF,OFF,0.00,1695.00,51.60,OFF,718.00,4053.00,717.00,0.00,OFF,27.00,1920.00,OFF
137,0.00,856.00,0.39,0.70,Completed,21.00,OFF,855.00,14.58,ON,OFF,OFF,1777.00,2974.00,2974.00,99.00,ON,OFF,OFF,OFF,37.20,1534.00,0.00,OFF,739.00,3983.00,739.00,0.00,OFF,27.00,1760.00,OFF
138,0.00,856.00,0.39,0.67,Completed,22.00,OFF,856.00,14.54,ON,OFF,OFF,1699.00,2839.00,2839.00,99.00,ON,OFF,OFF,OFF,0.00,1467.00,34.40,OFF,746.00,3815.00,745.00,0.00,OFF,27.00,1664.00,OFF
139,0.00,856.00,0.39,0.63,Completed,22.00,OFF,856.00,14.63,ON,OFF,OFF,1625.00,2712.00,2712.00,99.00,ON,OFF,OFF,OFF,37.20,1403.00,0.00,OFF,751.00,3642.00,751.00,0.00,OFF,27.00,1600.00,OFF
140,0.00,856.00,0.39,0.67,Completed,22.00,OFF,857.00,14.62,ON,OFF,OFF,1543.00,2567.00,2567.00,99.00,ON,OFF,OFF,OFF,0.00,1329.00,34.00,OFF,744.00,3448.00,740.00,0.00,OFF,27.00,1504.00,OFF
141,0.00,859.00,0.39,0.63,Completed,22.00,OFF,858.00,14.64,ON,OFF,OFF,1459.00,2390.00,2390.00,99.00,ON,OFF,OFF,OFF,0.00,1246.00,35.20,OFF,753.00,3267.00,752.00,0.00,ON,27.00,1440.00,OFF
142,0.00,856.00,0.42,0.67,Completed,22.00,OFF,856.00,14.62,ON,OFF,OFF,1280.00,1818.00,1818.00,99.00,ON,OFF,OFF,OFF,38.00,1107.00,0.00,OFF,744.00,2679.00,743.00,0.00,ON,19.00,1184.00,OFF
143,0.00,845.00,0.61,0.67,Completed,22.00,OFF,846.00,14.58,ON,OFF,OFF,1269.00,1067.00,1067.00,99.00,ON,OFF,OFF,OFF,58.80,1108.00,0.00,OFF,734.00,1901.00,739.00,0.00,ON,27.00,1184.00,OFF
144,0.00,780.00,1.22,1.27,Completed,22.00,OFF,781.00,14.65,ON,OFF,OFF,1236.00,814.00,814.00,99.00,ON,OFF,OFF,OFF,39.20,1386.00,0.00,OFF,649.00,1018.00,646.00,0.00,OFF,27.00,1248.00,OFF
145,18.43,733.00,1.10,2.09,Completed,22.00,OFF,736.00,14.59,ON,OFF,OFF,1564.00,1193.00,1193.00,99.00,ON,OFF,OFF,OFF,0.00,1592.00,57.20,OFF,558.00,1348.00,549.00,0.00,OFF,40.50,1632.00,OFF
146,32.16,766.00,0.82,2.15,Completed,22.00,OFF,762.00,14.56,ON,OFF,OFF,1800.00,1585.00,1585.00,99.00,ON,OFF,OFF,OFF,0.00,1606.00,47.20,OFF,561.00,1952.00,551.00,0.00,OFF,41.00,1824.00,OFF
147,0.00,854.00,0.55,0.70,Completed,22.00,OFF,852.00,14.56,ON,OFF,OFF,1470.00,1525.00,1525.00,99.00,ON,OFF,OFF,OFF,0.00,1077.00,40.80,OFF,732.00,2067.00,729.00,0.00,OFF,27.50,1376.00,OFF
148,0.00,849.00,0.61,0.68,Completed,23.00,OFF,849.00,14.60,ON,OFF,OFF,1229.00,1324.00,1324.00,99.00,ON,OFF,OFF,OFF,39.60,1096.00,0.00,OFF,735.00,1858.00,734.00,0.00,OFF,27.50,1216.00,OFF
149,0.78,829.00,0.67,0.65,Completed,23.00,OFF,835.00,14.65,ON,OFF,OFF,1231.00,1283.00,1283.00,99.00,ON,OFF,OFF,OFF,38.40,1180.00,0.00,OFF,744.00,1662.00,742.00,0.00,OFF,27.50,1184.00,OFF
150,0.00,849.00,0.65,0.61,Completed,23.00,OFF,849.00,14.60,ON,OFF,OFF,1398.00,1299.00,1299.00,99.00,ON,OFF,OFF,OFF,37.20,1099.00,39.20,OFF,748.00,1714.00,745.00,0.00,OFF,27.50,1312.00,OFF
151,19.22,801.00,0.77,1.10,Completed,23.00,OFF,803.00,14.59,ON,OFF,OFF,1674.00,1504.00,1504.00,99.00,ON,OFF,OFF,OFF,0.00,1494.00,46.00,OFF,680.00,1894.00,677.00,0.00,OFF,34.50,1664.00,OFF
152,22.35,808.00,0.69,1.26,Completed,23.00,OFF,804.00,14.63,ON,OFF,OFF,1695.00,1723.00,1723.00,99.00,ON,OFF,OFF,OFF,0.00,1521.00,42.80,OFF,663.00,2201.00,657.00,0.00,OFF,35.00,1728.00,OFF
153,0.00,856.00,0.49,0.64,Completed,23.00,OFF,854.00,14.62,ON,OFF,OFF,1422.00,1650.00,1650.00,99.00,ON,OFF,OFF,OFF,38.40,1100.00,0.00,OFF,745.00,2228.00,740.00,0.00,OFF,27.50,1280.00,OFF
154,0.00,852.00,0.54,0.62,Completed,24.00,OFF,852.00,14.63,ON,OFF,OFF,1230.00,1512.00,1512.00,99.00,ON,OFF,OFF,OFF,37.60,1099.00,0.00,OFF,747.00,2074.00,745.00,0.00,OFF,27.50,1216.00,OFF
155,0.00,849.00,0.58,0.60,Completed,24.00,OFF,851.00,14.60,ON,OFF,OFF,1247.00,1402.00,1402.00,99.00,ON,OFF,OFF,OFF,38.40,1103.00,0.00,OFF,752.00,1911.00,748.00,0.00,OFF,27.50,1216.00,OFF
156,13.33,796.00,0.73,0.82,Completed,24.00,OFF,798.00,14.66,ON,OFF,OFF,1267.00,1458.00,1458.00,99.00,ON,OFF,OFF,OFF,37.60,1520.00,0.00,OFF,699.00,1868.00,701.00,0.00,OFF,28.50,1472.00,OFF
157,0.00,852.00,0.60,0.65,Completed,24.00,OFF,851.00,14.60,ON,OFF,OFF,1636.00,1533.00,1533.00,99.00,ON,OFF,OFF,OFF,0.00,1159.00,60.40,OFF,745.00,2042.00,741.00,0.00,OFF,27.50,1504.00,OFF
158,11.76,852.00,0.56,0.62,Completed,24.00,OFF,853.00,14.58,ON,OFF,OFF,1342.00,1546.00,1546.00,99.00,ON,OFF,OFF,OFF,0.00,1096.00,56.40,OFF,746.00,2061.00,746.00,0.00,OFF,27.50,1376.00,OFF
159,11.37,819.00,0.60,0.60,Completed,24.00,OFF,825.00,14.61,ON,OFF,OFF,1391.00,1594.00,1594.00,99.00,ON,OFF,OFF,OFF,38.40,1292.00,43.20,OFF,751.00,2074.00,750.00,0.00,OFF,27.00,1408.00,OFF
160,25.88,792.00,0.67,1.53,Completed,24.00,OFF,791.00,14.59,ON,OFF,OFF,1833.00,1872.00,1872.00,99.00,ON,OFF,OFF,OFF,0.00,1590.00,40.40,OFF,625.00,2348.00,610.00,0.00,OFF,36.50,1792.00,OFF
161,0.00,856.00,0.50,0.68,Completed,24.00,OFF,855.00,14.56,ON,OFF,OFF,1752.00,1951.00,1951.00,99.00,ON,OFF,OFF,OFF,0.00,1220.00,58.00,OFF,741.00,2581.00,736.00,0.00,OFF,27.50,1568.00,OFF
162,15.69,820.00,0.53,0.71,Completed,25.00,OFF,821.00,14.55,ON,OFF,OFF,1536.00,2012.00,2012.00,99.00,ON,OFF,OFF,OFF,40.00,1502.00,0.00,OFF,726.00,2595.00,725.00,0.00,OFF,27.00,1536.00,OFF
163,0.00,857.00,0.43,0.63,Completed,25.00,OFF,858.00,14.62,ON,OFF,OFF,1509.00,1982.00,1982.00,99.00,ON,OFF,OFF,OFF,0.00,1129.00,45.20,OFF,745.00,2671.00,742.00,0.00,OFF,27.50,1376.00,OFF
164,12.55,840.00,0.47,0.61,Completed,25.00,OFF,840.00,14.61,ON,OFF,OFF,1454.00,2056.00,2056.00,99.00,ON,OFF,OFF,OFF,0.00,1281.00,50.40,OFF,751.00,2686.00,748.00,0.00,OFF,27.50,1408.00,OFF
165,0.00,829.00,0.43,0.59,Completed,25.00,OFF,830.00,14.59,ON,OFF,OFF,1294.00,2057.00,2057.00,99.00,ON,OFF,OFF,OFF,40.00,1411.00,0.00,OFF,744.00,2740.00,735.00,0.00,OFF,27.00,1216.00,OFF
166,16.86,841.00,0.50,0.71,Completed,25.00,OFF,837.00,14.59,ON,OFF,OFF,1632.00,2153.00,2153.00,99.00,ON,OFF,OFF,OFF,0.00,1329.00,92.00,OFF,731.00,2817.00,730.00,0.00,OFF,27.50,1600.00,OFF
167,0.00,857.00,0.39,0.60,Completed,25.00,OFF,858.00,14.63,ON,OFF,OFF,1243.00,2034.00,2034.00,99.00,ON,OFF,OFF,OFF,39.20,1084.00,0.00,OFF,747.00,2773.00,746.00,0.00,ON,27.50,1216.00,OFF
168,0.00,856.00,0.43,0.60,Completed,25.00,OFF,857.00,14.67,ON,OFF,OFF,1237.00,1902.00,1902.00,99.00,ON,OFF,OFF,OFF,37.20,1092.00,0.00,OFF,752.00,2575.00,748.00,0.00,OFF,27.50,1216.00,OFF
169,5.49,833.00,0.52,0.60,Completed,25.00,OFF,834.00,14.61,ON,OFF,OFF,1249.00,1865.00,1865.00,99.00,ON,OFF,OFF,OFF,0.00,1312.00,40.80,OFF,753.00,2461.00,748.00,0.00,OFF,27.00,1248.00,OFF
170,0.00,856.00,0.45,0.62,Completed,25.00,OFF,856.00,14.57,ON,OFF,OFF,1327.00,1832.00,1832.00,99.00,ON,OFF,OFF,OFF,38.00,1108.00,0.00,OFF,752.00,2454.00,748.00,0.00,OFF,27.50,1216.00,OFF
171,0.00,856.00,0.46,0.60,Completed,25.00,OFF,856.00,14.60,ON,OFF,OFF,1326.00,1767.00,1767.00,99.00,ON,OFF,OFF,OFF,37.60,1096.00,0.00,OFF,751.00,2378.00,748.00,0.00,ON,27.50,1248.00,OFF
172,0.00,852.00,0.51,0.60,Completed,25.00,OFF,853.00,14.60,ON,OFF,OFF,1248.00,1530.00,1530.00,99.00,ON,OFF,OFF,OFF,39.60,1092.00,0.00,OFF,750.00,2174.00,747.00,0.00,ON,27.50,1216.00,OFF
173,0.00,850.00,0.61,0.62,Completed,25.00,OFF,850.00,14.58,ON,OFF,OFF,1245.00,1375.00,1375.00,99.00,ON,OFF,OFF,OFF,0.00,1107.00,40.00,OFF,748.00,1838.00,747.00,0.00,OFF,27.50,1216.00,OFF
174,17.25,806.00,0.73,0.93,Completed,25.00,OFF,808.00,14.59,ON,OFF,OFF,1649.00,1515.00,1515.00,99.00,ON,OFF,OFF,OFF,0.00,1442.00,42.80,OFF,699.00,1924.00,694.00,0.00,OFF,31.50,1632.00,OFF
175,16.86,852.00,0.65,0.87,Completed,25.00,OFF,850.00,14.60,ON,OFF,OFF,1625.00,1642.00,1642.00,99.00,ON,OFF,OFF,OFF,0.00,1317.00,64.00,OFF,706.00,2154.00,701.00,0.00,OFF,30.00,1600.00,OFF
176,0.00,852.00,0.52,0.62,Completed,25.00,OFF,853.00,14.61,ON,OFF,OFF,1236.00,1548.00,1548.00,99.00,ON,OFF,OFF,OFF,38.00,1091.00,0.00,OFF,742.00,2113.00,742.00,0.00,OFF,27.50,1184.00,OFF
177,0.00,852.00,0.57,0.60,Completed,25.00,OFF,851.00,14.61,ON,OFF,OFF,1235.00,1456.00,1456.00,99.00,ON,OFF,OFF,OFF,37.20,1089.00,34.80,OFF,746.00,1941.00,745.00,0.00,OFF,27.50,1216.00,OFF
178,0.00,850.00,0.59,0.60,Completed,26.00,OFF,850.00,14.60,ON,OFF,OFF,1224.00,1376.00,1376.00,99.00,ON,OFF,OFF,OFF,38.00,1099.00,0.00,OFF,748.00,1865.00,746.00,0.00,ON,27.50,1216.00,OFF
179,0.00,845.00,0.73,0.67,Completed,26.00,OFF,846.00,14.61,ON,OFF,OFF,1232.00,1119.00,1119.00,99.00,ON,OFF,OFF,OFF,38.00,1097.00,0.00,OFF,731.00,1549.00,731.00,0.00,ON,27.50,1216.00,OFF
180,0.00,840.00,0.87,0.74,Completed,26.00,OFF,840.00,14.62,ON,OFF,OFF,1235.00,909.00,909.00,99.00,ON,OFF,OFF,OFF,39.60,1094.00,0.00,OFF,719.00,1288.00,719.00,0.00,OFF,27.00,1216.00,OFF
181,3.14,836.00,1.01,0.67,Completed,26.00,OFF,836.00,14.60,ON,OFF,OFF,1241.00,814.00,814.00,99.00,ON,OFF,OFF,OFF,38.80,1093.00,0.00,OFF,739.00,1084.00,735.00,0.00,OFF,27.50,1216.00,OFF
182,8.63,827.00,1.07,0.62,Completed,26.00,OFF,826.00,14.59,ON,OFF,OFF,1250.00,854.00,854.00,99.00,ON,OFF,OFF,OFF,0.00,1184.00,48.40,OFF,744.00,1094.00,742.00,0.00,OFF,28.50,1312.00,OFF
183,9.02,799.00,1.01,0.67,Completed,26.00,OFF,801.00,14.58,ON,OFF,OFF,1345.00,975.00,975.00,99.00,ON,OFF,OFF,OFF,0.00,1304.00,40.80,OFF,718.00,1220.00,712.00,0.00,OFF,29.50,1344.00,OFF
184,12.16,845.00,0.83,0.77,Completed,26.00,OFF,844.00,14.56,ON,OFF,OFF,1462.00,1135.00,1135.00,99.00,ON,OFF,OFF,OFF,0.00,1168.00,65.20,OFF,734.00,1483.00,729.00,0.00,OFF,31.00,1440.00,OFF
185,1.57,843.00,0.77,0.64,Completed,26.00,OFF,844.00,14.59,ON,OFF,OFF,1229.00,1036.00,1036.00,99.00,ON,OFF,OFF,OFF,37.60,1085.00,0.00,OFF,744.00,1419.00,740.00,0.00,OFF,28.00,1216.00,OFF
186,0.78,840.00,0.89,0.68,Completed,26.00,OFF,840.00,14.59,ON,OFF,OFF,1223.00,902.00,902.00,99.00,ON,OFF,OFF,OFF,37.20,1090.00,0.00,OFF,740.00,1223.00,736.00,0.00,OFF,28.00,1184.00,OFF
187,5.10,838.00,0.94,0.62,Completed,26.00,OFF,839.00,14.59,ON,OFF,OFF,1248.00,870.00,870.00,99.00,ON,OFF,OFF,OFF,38.40,1098.00,0.00,OFF,744.00,1185.00,743.00,0.00,OFF,28.00,1216.00,OFF
188,4.71,836.00,0.99,0.61,Completed,26.00,OFF,837.00,14.65,ON,OFF,OFF,1236.00,840.00,840.00,99.00,ON,OFF,OFF,OFF,37.60,1098.00,0.00,OFF,750.00,1112.00,745.00,0.00,OFF,28.00,1216.00,OFF
189,7.06,831.00,1.00,0.60,Completed,26.00,OFF,828.00,14.62,ON,OFF,OFF,1312.00,857.00,857.00,99.00,ON,OFF,OFF,OFF,0.00,1125.00,0.00,OFF,747.00,1131.00,747.00,0.00,OFF,28.00,1280.00,OFF
190,7.06,785.00,1.03,0.61,Completed,26.00,OFF,785.00,14.59,ON,OFF,OFF,1276.00,893.00,893.00,99.00,ON,OFF,OFF,OFF,48.40,1331.00,0.00,OFF,745.00,1123.00,747.00,0.00,OFF,28.00,1248.00,OFF
191,15.69,798.00,1.00,1.09,Completed,27.00,OFF,797.00,14.63,ON,OFF,OFF,1594.00,1078.00,1078.00,99.00,ON,OFF,OFF,OFF,0.00,1341.00,48.80,OFF,680.00,1346.00,673.00,0.00,OFF,36.50,1568.00,OFF
192,11.37,845.00,0.81,0.76,Completed,27.00,OFF,844.00,14.60,ON,OFF,OFF,1498.00,1134.00,1134.00,99.00,ON,OFF,OFF,OFF,0.00,1179.00,46.80,OFF,726.00,1520.00,723.00,0.00,OFF,29.00,1440.00,OFF
193,6.27,845.00,0.77,0.63,Completed,27.00,OFF,844.00,14.59,ON,OFF,OFF,1228.00,1049.00,1049.00,99.00,ON,OFF,OFF,OFF,0.00,1082.00,35.20,OFF,745.00,1425.00,741.00,0.00,OFF,28.00,1216.00,OFF
194,1.18,840.00,0.86,0.62,Completed,27.00,OFF,841.00,14.58,ON,OFF,OFF,1219.00,903.00,903.00,99.00,ON,OFF,OFF,OFF,39.20,1065.00,0.00,OFF,745.00,1258.00,742.00,0.00,OFF,28.00,1216.00,OFF
195,0.00,831.00,1.10,0.92,Completed,27.00,OFF,832.00,14.60,ON,OFF,OFF,1224.00,631.00,631.00,99.00,OFF,OFF,OFF,OFF,47.20,1060.00,0.00,OFF,696.00,1023.00,692.00,0.00,ON,27.50,1216.00,OFF
196,0.00,803.00,2.25,1.20,Completed,27.00,OFF,804.00,14.61,ON,OFF,OFF,1010.00,289.00,289.00,0.00,OFF,OFF,OFF,OFF,0.00,860.00,40.40,OFF,659.00,464.00,645.00,0.00,ON,27.50,1120.00,OFF
197,0.00,768.00,2.21,1.21,Completed,27.00,OFF,768.00,14.66,ON,OFF,OFF,967.00,158.00,158.00,0.00,OFF,OFF,OFF,OFF,0.00,450.00,36.00,OFF,645.00,212.00,631.00,0.00,ON,30.00,544.00,OFF
198,0.00,741.00,2.24,1.35,Completed,27.00,OFF,743.00,14.65,ON,OFF,OFF,963.00,90.00,90.00,0.00,OFF,OFF,OFF,OFF,0.00,269.00,50.80,OFF,648.00,102.00,644.00,0.00,ON,27.50,192.00,OFF
199,0.00,768.00,2.12,1.34,Completed,27.00,OFF,764.00,14.68,ON,OFF,OFF,974.00,0.00,0.00,0.00,OFF,OFF,OFF,OFF,0.00,0.00,0.00,OFF,642.00,75.00,641.00,0.00,ON,44.00,224.00,OFF
200,0.00,1024.00,2.12,0.86,Completed,27.00,OFF,1000.00,14.66,OFF,OFF,OFF,977.00,0.00,0.00,0.00,OFF,OFF,OFF,ON,0.00,789.00,40.40,OFF,679.00,0.00,708.00,0.00,ON,40.00,0.00,OFF
201,0.00,1001.00,2.17,0.66,Completed,27.00,OFF,1000.00,14.63,OFF,OFF,OFF,972.00,0.00,0.00,0.00,OFF,OFF,OFF,ON,0.00,843.00,34.40,OFF,737.00,388.00,734.00,0.00,OFF,0.00,928.00,OFF
